analysis_type	analysis_subtype	analysis_name	group1_samples	group2_samples	N_test	N_chunk
emVars	celltype_cond	HepG2_NS_all	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5		5735	17
emVars	celltype_cond	HepG2_TNFa_all	HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3		5708	13
emVars	celltype_cond	K562_IFNA2b_all	K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4		5708	14
emVars	celltype_cond	K562_NS_all	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5		5735	16
emVars	celltype_cond	K562_TNFa_all	K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3		5709	13
emVars	celltype_cond	K562_DEX_all	K562_DEX_R1,K562_DEX_R2,K562_DEX_R3		5709	13
emVars	response	response_A549-ACE2_IAV	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2,A549-ACE2_IAV_R3	5711	16
emVars	response	response_A549-ACE2_SARS	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	A549-ACE2_SARS_R1-P3,A549-ACE2_SARS_R2-P3,A549-ACE2_SARS_R3-P3	5710	15
emVars	response	response_A549-ACE2_TNFa	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	A549-ACE2_TNFa_R1,A549-ACE2_TNFa_R2,A549-ACE2_TNFa_R3	5710	14
emVars	response	response_HepG2_DEX	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5	HepG2_DEX_R1,HepG2_DEX_R2,HepG2_DEX_R3	5735	21
emVars	response	response_HepG2_IFNA2b	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5	HepG2_IFNA2b_R1,HepG2_IFNA2b_R2,HepG2_IFNA2b_R3,HepG2_IFNA2b_R4	5735	23
emVars	response	response_HepG2_TNFa	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5	HepG2_TNFa_R1,HepG2_TNFa_R2,HepG2_TNFa_R3	5735	20
emVars	response	response_K562_DEX	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5	K562_DEX_R1,K562_DEX_R2,K562_DEX_R3	5735	19
emVars	response	response_K562_IFNA2b	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5	K562_IFNA2b_R1,K562_IFNA2b_R2,K562_IFNA2b_R3,K562_IFNA2b_R4	5735	20
emVars	response	response_K562_TNFa	K562_NS_R1,K562_NS_R2,K562_NS_R3,K562_NS_R4,K562_NS_R5	K562_TNFa_R1,K562_TNFa_R2,K562_TNFa_R3	5735	19
emVars	celltype_comp	Celltype_HepG2_A549-ACE2_NS	HepG2_NS_R1,HepG2_NS_R2,HepG2_NS_R3,HepG2_NS_R4,HepG2_NS_R5	A549-ACE2_NS_R1,A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	5735	20
